Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Palm_x,Palm_y,Palm_z,Wrist_x,Wrist_y,Wrist_z,Thumb_MCP_x,Thumb_MCP_y,Thumb_MCP_z,Thumb_PIP_x,Thumb_PIP_y,Thumb_PIP_z,Thumb_DIP_x,Thumb_DIP_y,Thumb_DIP_z,Thumb_TIP_x,Thumb_TIP_y,Thumb_TIP_z,Index_MCP_x,Index_MCP_y,Index_MCP_z,Index_PIP_x,Index_PIP_y,Index_PIP_z,Index_DIP_x,Index_DIP_y,Index_DIP_z,Index_TIP_x,Index_TIP_y,Index_TIP_z,Middle_MCP_x,Middle_MCP_y,Middle_MCP_z,Middle_PIP_x,Middle_PIP_y,Middle_PIP_z,Middle_DIP_x,Middle_DIP_y,Middle_DIP_z,Middle_TIP_x,Middle_TIP_y,Middle_TIP_z,Ring_MCP_x,Ring_MCP_y,Ring_MCP_z,Ring_PIP_x,Ring_PIP_y,Ring_PIP_z,Ring_DIP_x,Ring_DIP_y,Ring_DIP_z,Ring_TIP_x,Ring_TIP_y,Ring_TIP_z,Pinky_MCP_x,Pinky_MCP_y,Pinky_MCP_z,Pinky_PIP_x,Pinky_PIP_y,Pinky_PIP_z,Pinky_DIP_x,Pinky_DIP_y,Pinky_DIP_z,Pinky_TIP_x,Pinky_TIP_y,Pinky_TIP_z
32,413,162,78,210,40,31,33,-13.157617568969727,-23.573400497436523,3.8289835453033447,29.81753921508789,40.53422164916992,51.420902252197266,8.703678131103516,16.122861862182617,23.097532272338867,28.432188034057617,-10.70016860961914,-12.192037582397461,-6.3609514236450195,0.16814470291137695,-29.61732292175293,-35.76863098144531,-32.15044021606445,-26.037574768066406,-45.14091491699219,-52.771148681640625,-50.123355865478516,-43.28350830078125,28.174522399902344,75.67681884765625,80.0186996459961,43.02335739135742,14.60098648071289,-3.549107551574707,9.328291893005371,-28.8516845703125,-46.38667678833008,-53.59666061401367,7.1280517578125,-36.5009651184082,-58.23817825317383,-66.88768005371094,10.354937553405762,-29.358522415161133,-52.556739807128906,-63.584136962890625,14.61533260345459,-16.321640014648438,-32.829750061035156,-43.15631103515625,130.7165069580078,121.22352600097656,119.72621154785156,119.57266998291016,114.00765991210938,112.83495330810547,144.77609252929688,145.95654296875,134.8603973388672,122.24976348876953,140.26025390625,140.64813232421875,128.12460327148438,115.0002212524414,132.6652374267578,137.42025756835938,128.57281494140625,117.28558349609375,121.84984588623047,125.06329345703125,119.20769500732422,109.70474243164062
33,380,153,74,194,40,30,33,-13.061891555786133,-23.46880340576172,3.9332680702209473,29.84090805053711,40.56113052368164,51.56035232543945,8.813484191894531,16.22873306274414,23.16964340209961,28.4805850982666,-10.599228858947754,-12.063252449035645,-6.292201519012451,0.1787766069173813,-29.527652740478516,-35.628665924072266,-32.07538604736328,-26.04391860961914,-45.0674934387207,-52.648258209228516,-50.05922317504883,-43.31682586669922,28.298654556274414,75.79745483398438,80.12338256835938,43.071556091308594,14.643269538879395,-3.445474624633789,9.454161643981934,-28.72722816467285,-46.30122756958008,-53.5888557434082,7.259934425354004,-36.37059020996094,-58.15462112426758,-66.9205322265625,10.489654541015625,-29.244173049926758,-52.47004318237305,-63.60847473144531,14.748032569885254,-16.213403701782227,-32.73477554321289,-43.16432189941406,130.76242065429688,121.24224090576172,119.69390106201172,119.49334716796875,113.96548461914062,112.89994049072266,144.8024139404297,145.96170043945312,134.90615844726562,122.3302001953125,140.3218994140625,140.64013671875,128.17025756835938,115.09442138671875,132.75621032714844,137.40469360351562,128.60360717773438,117.38179779052734,121.96339416503906,125.0560302734375,119.21156311035156,109.75153350830078
36,343,149,69,172,38,28,29,-12.976723670959473,-23.37917709350586,4.022303581237793,29.8610897064209,40.59345245361328,51.684173583984375,8.911406517028809,16.32975959777832,23.242542266845703,28.53434181213379,-10.508462905883789,-11.94304084777832,-6.21890115737915,0.20460745692253113,-29.446369171142578,-35.48299789428711,-31.988500595092773,-26.03675651550293,-44.9998779296875,-52.52271270751953,-49.9867057800293,-43.3378791809082,28.411579132080078,75.90646362304688,80.22074127197266,43.121097564697266,14.690150260925293,-3.3475918769836426,9.570362091064453,-28.6114444732666,-46.221153259277344,-53.58546447753906,7.3798017501831055,-36.2520751953125,-58.07499694824219,-66.93794250488281,10.610464096069336,-29.147993087768555,-52.400020599365234,-63.652320861816406,14.865843772888184,-16.122827529907227,-32.655208587646484,-43.184181213378906,130.799072265625,121.25453186035156,119.66381072998047,119.42342376708984,113.93293762207031,112.95477294921875,144.82357788085938,145.94874572753906,134.93247985839844,122.39318084716797,140.37237548828125,140.6343231201172,128.21092224121094,115.1771469116211,132.8308563232422,137.35104370117188,128.59561157226562,117.44505310058594,122.05656433105469,125.01496124267578,119.17839813232422,109.76237487792969
36,289,133,66,144,37,25,25,-12.895414352416992,-23.29209327697754,4.109005451202393,29.8856143951416,40.63021469116211,51.79825210571289,9.002927780151367,16.428560256958008,23.316699981689453,28.592060089111328,-10.423171997070312,-11.829815864562988,-6.149871826171875,0.22892428934574127,-29.369094848632812,-35.333595275878906,-31.896011352539062,-26.025249481201172,-44.934200286865234,-52.400665283203125,-49.91238021850586,-43.34995651245117,28.515382766723633,76.00709533691406,80.31011962890625,43.167518615722656,14.734962463378906,-3.2588348388671875,9.676386833190918,-28.505287170410156,-46.14760208129883,-53.586524963378906,7.4897141456604,-36.1434211730957,-58.001243591308594,-66.95604705810547,10.721823692321777,-29.06674575805664,-52.33900451660156,-63.703330993652344,14.975037574768066,-16.03928565979004,-32.581302642822266,-43.20155334472656,130.82598876953125,121.2593765258789,119.63200378417969,119.35313415527344,113.89500427246094,112.98990631103516,144.8375244140625,145.9182891845703,134.93881225585938,122.43667602539062,140.4116668701172,140.606689453125,128.2244110107422,115.23152923583984,132.8909454345703,137.23863220214844,128.5144805908203,117.43482971191406,122.1325454711914,124.96215057373047,119.1323471069336,109.75831604003906
33,163,108,55,77,32,23,22,-12.821294784545898,-23.21271514892578,4.188040256500244,29.90020179748535,40.669227600097656,51.91827392578125,9.085721969604492,16.519559860229492,23.38503646850586,28.64614486694336,-10.34573745727539,-11.72549819946289,-6.08629846572876,0.25106215476989746,-29.29853630065918,-35.19148635864258,-31.816646575927734,-26.032419204711914,-44.873600006103516,-52.27787780761719,-49.83930587768555,-43.368621826171875,28.609649658203125,76.09796142578125,80.3909683227539,43.20402145385742,14.772906303405762,-3.1740810871124268,9.773453712463379,-28.407926559448242,-46.082950592041016,-53.597843170166016,7.589947700500488,-36.04428482055664,-57.935585021972656,-66.97819519042969,10.822883605957031,-28.994590759277344,-52.29298782348633,-63.781978607177734,15.073545455932617,-15.968964576721191,-32.5201416015625,-43.237091064453125,130.84544372558594,121.25627899169922,119.59699249267578,119.28089141845703,113.86355590820312,113.03557586669922,144.84718322753906,145.88092041015625,134.93992614746094,122.47728729248047,140.44334411621094,140.57452392578125,128.23284912109375,115.28056335449219,132.94032287597656,137.11761474609375,128.4388427734375,117.44255828857422,122.1953353881836,124.87530517578125,119.05049896240234,109.72286224365234
31,127,92,52,64,36,24,23,-12.975866317749023,-23.471540451049805,3.9257781505584717,29.6761474609375,40.76430130004883,52.329856872558594,8.875062942504883,16.509511947631836,23.544754028320312,28.956270217895508,-10.504703521728516,-11.607572555541992,-5.835206508636475,0.5820083022117615,-29.398813247680664,-34.93033218383789,-31.456506729125977,-25.67861557006836,-44.888885498046875,-52.05702590942383,-49.56204605102539,-43.100032806396484,29.209381103515625,76.28362274169922,80.6373519897461,43.496665954589844,14.973130226135254,-2.7901298999786377,10.975890159606934,-27.112045288085938,-45.15534210205078,-53.18553161621094,8.552145004272461,-35.07025146484375,-57.410099029541016,-67.0837631225586,11.43435001373291,-28.362071990966797,-51.930824279785156,-63.97810363769531,15.234432220458984,-15.789403915405273,-32.539302825927734,-43.711273193359375,128.95880126953125,117.60407257080078,116.049560546875,117.30339050292969,113.16712951660156,113.3265609741211,143.81967163085938,146.09400939941406,135.8865966796875,123.81588745117188,139.3148651123047,140.6329803466797,129.18931579589844,116.74213409423828,131.5263214111328,136.34866333007812,128.47640991210938,118.09125518798828,120.4935302734375,123.92606353759766,118.72679138183594,109.94288635253906
29,98,88,52,64,43,24,23,-12.915183067321777,-23.41905403137207,3.9762136936187744,29.6846981048584,40.78542709350586,52.37883377075195,8.963955879211426,16.608667373657227,23.605730056762695,28.98534393310547,-10.427533149719238,-11.493343353271484,-5.787735462188721,0.560053825378418,-29.33909797668457,-34.784202575683594,-31.3785400390625,-25.70073890686035,-44.85404586791992,-51.93622970581055,-49.49381637573242,-43.13890838623047,29.283935546875,76.3692855834961,80.71293640136719,43.54009246826172,15.023351669311523,-2.7217822074890137,11.03262996673584,-27.06031036376953,-45.11920166015625,-53.206207275390625,8.619418144226074,-35.009010314941406,-57.36670684814453,-67.12877655029297,11.513954162597656,-28.326845169067383,-51.897117614746094,-64.03421020507812,15.326971054077148,-15.741036415100098,-32.486873626708984,-43.736568450927734,129.10012817382812,117.79916381835938,116.18160247802734,117.33804321289062,113.1886978149414,113.34407043457031,143.89747619628906,146.05029296875,135.84420776367188,123.79720306396484,139.4376983642578,140.5740966796875,129.1317901611328,116.71807861328125,131.6962432861328,136.2425994873047,128.34515380859375,118.00949096679688,120.70293426513672,123.90677642822266,118.66960144042969,109.90677642822266
30,86,86,54,67,43,25,23,-12.859452247619629,-23.366893768310547,4.026739120483398,29.697240829467773,40.80221939086914,52.41389465332031,9.043426513671875,16.701929092407227,23.663537979125977,29.01434326171875,-10.35866641998291,-11.396410942077637,-5.753551959991455,0.530151903629303,-29.285558700561523,-34.63202667236328,-31.281723022460938,-25.69510841369629,-44.82242965698242,-51.82707595825195,-49.43864440917969,-43.18994903564453,29.34657859802246,76.44549560546875,80.77843475341797,43.57640075683594,15.064988136291504,-2.668320655822754,11.073930740356445,-27.023862838745117,-45.09680938720703,-53.24306869506836,8.672758102416992,-34.960838317871094,-57.32943344116211,-67.16627502441406,11.581732749938965,-28.30418586730957,-51.871089935302734,-64.08863067626953,15.410284996032715,-15.698713302612305,-32.43950271606445,-43.76382827758789,129.23968505859375,117.99873352050781,116.32571411132812,117.38304138183594,113.20853424072266,113.34904479980469,143.97543334960938,145.98886108398438,135.7834014892578,123.76351928710938,139.55545043945312,140.50384521484375,129.05174255371094,116.66448211669922,131.8569793701172,136.11569213867188,128.18458557128906,117.89412689208984,120.90010070800781,123.86795043945312,118.58988952636719,109.84683990478516
29,76,77,52,63,42,27,23,-12.813857078552246,-23.320941925048828,4.0714850425720215,29.706256866455078,40.81399917602539,52.43850326538086,9.108129501342773,16.775846481323242,23.70299530029297,29.02772331237793,-10.303223609924316,-11.308849334716797,-5.723629474639893,0.4998985826969147,-29.24307632446289,-34.5189208984375,-31.221410751342773,-25.71417999267578,-44.798553466796875,-51.72486877441406,-49.37941360473633,-43.22285079956055,29.39690589904785,76.50979614257812,80.8318099975586,43.60258102416992,15.096236228942871,-2.62880277633667,11.102272987365723,-27.0008544921875,-45.088871002197266,-53.296321868896484,8.713461875915527,-34.924556732177734,-57.30448532104492,-67.2168960571289,11.637286186218262,-28.281641006469727,-51.848514556884766,-64.13510131835938,15.481854438781738,-15.665559768676758,-32.398536682128906,-43.7841796875,129.36903381347656,118.18645477294922,116.46609497070312,117.42891693115234,113.22723388671875,113.3492431640625,144.0489959716797,145.92147827148438,135.7192840576172,123.72948455810547,139.66310119628906,140.42428588867188,128.966064453125,116.60870361328125,132.00222778320312,136.03367614746094,128.08038330078125,117.82940673828125,121.07740020751953,123.81742858886719,118.49551391601562,109.7667465209961
29,76,78,45,61,44,26,20,-12.781292915344238,-23.286657333374023,4.104799270629883,29.709224700927734,40.81698226928711,52.44905090332031,9.156258583068848,16.83177375793457,23.727508544921875,29.02943992614746,-10.262944221496582,-11.237313270568848,-5.699781894683838,0.4725513160228729,-29.213623046875,-34.417423248291016,-31.1590576171875,-25.717906951904297,-44.78468704223633,-51.65371322631836,-49.35430145263672,-43.28512191772461,29.437562942504883,76.5635986328125,80.87578582763672,43.623573303222656,15.121439933776855,-2.5987658500671387,11.122343063354492,-26.985746383666992,-45.08805847167969,-53.35476303100586,8.744937896728516,-34.89641189575195,-57.28401184082031,-67.25975036621094,11.682570457458496,-28.26803207397461,-51.8287467956543,-64.16840362548828,15.542152404785156,-15.633281707763672,-32.36437225341797,-43.81288146972656,129.4882049560547,118.35950469970703,116.59947967529297,117.4769287109375,113.2468032836914,113.34783172607422,144.11915588378906,145.85360717773438,135.6554718017578,123.69631958007812,139.7619171142578,140.35386657714844,128.88748168945312,116.55543518066406,132.13314819335938,135.93809509277344,127.95050811767578,117.72802734375,121.23585510253906,123.79547882080078,118.44760131835938,109.7398910522461
