Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Thumb_tip_x,Thumb_tip_y,Thumb_tip_z,Index_tip_x,Index_tip_y,Index_tip_z,Middle_tip_x,Middle_tip_y,Middle_tip_z,Ring_tip_x,Ring_tip_y,Ring_tip_z,Pinky_tip_x,Pinky_tip_y,Pinky_tip_z,Palm_tip_x,Palm_tip_y,Palm_tip_z
38,289,211,156,88,46,31,75,-36.49586868286133,-32.996150970458984,-7.811843395233154,15.959057807922363,37.941444396972656,11.33655834197998,-8.822196006774902,-48.808372497558594,-63.57484817504883,-61.40565490722656,-46.61178970336914,27.919017791748047,145.46888732910156,165.5420379638672,162.33372497558594,158.303466796875,150.96018981933594,169.2185821533203
37,234,165,128,73,41,31,60,-36.992610931396484,-33.04566192626953,-7.897439002990723,15.921433448791504,37.89641571044922,11.597777366638184,-8.161601066589355,-48.72206497192383,-63.400421142578125,-61.31195831298828,-46.52269744873047,28.054786682128906,145.81790161132812,165.61058044433594,162.54051208496094,158.37660217285156,151.02947998046875,169.28028869628906
33,163,112,91,55,33,27,47,-37.407684326171875,-33.09733581542969,-7.963842868804932,15.895783424377441,37.8729133605957,11.76107120513916,-7.597680568695068,-48.62287902832031,-63.238487243652344,-61.2263069152832,-46.46976852416992,28.04943084716797,146.10711669921875,165.68833923339844,162.73968505859375,158.4377899169922,151.0678253173828,169.38587951660156
33,78,59,51,36,25,25,27,-37.86029052734375,-33.167484283447266,-8.023643493652344,15.865619659423828,37.846397399902344,11.861943244934082,-6.977639198303223,-48.479209899902344,-63.05751419067383,-61.1038932800293,-46.40520477294922,28.043914794921875,146.4210662841797,165.79962158203125,162.9548797607422,158.52420043945312,151.11561584472656,169.45541381835938
31,71,49,44,33,23,28,29,-38.52808380126953,-33.28597640991211,-8.08767032623291,15.814476013183594,37.77557373046875,11.958264350891113,-6.054858684539795,-48.217594146728516,-62.78037643432617,-60.82990264892578,-46.2175407409668,28.025020599365234,146.88201904296875,166.00198364257812,163.27520751953125,158.7127227783203,151.25794982910156,169.5272674560547
29,67,52,40,33,22,28,30,-38.73963165283203,-33.323524475097656,-8.104859352111816,15.798712730407715,37.74956130981445,11.99208927154541,-5.761778354644775,-48.132694244384766,-62.69515609741211,-60.736595153808594,-46.146766662597656,28.016401290893555,147.02783203125,166.0677032470703,163.3727264404297,158.77688598632812,151.3120574951172,169.55496215820312
29,53,51,41,31,22,28,27,-39.31243896484375,-33.417442321777344,-8.125228881835938,15.770350456237793,37.66483688354492,12.159025192260742,-4.961302280426025,-47.90276336669922,-62.470130920410156,-60.449214935302734,-45.885719299316406,27.951404571533203,147.42208862304688,166.247314453125,163.62460327148438,158.97410583496094,151.519287109375,169.7671356201172
30,49,51,41,30,22,28,29,-39.76175308227539,-33.48111343383789,-8.10911750793457,15.773693084716797,37.58525085449219,12.266534805297852,-4.329408645629883,-47.728553771972656,-62.29639434814453,-60.17943572998047,-45.582454681396484,27.881061553955078,147.73187255859375,166.38632202148438,163.81919860839844,159.16490173339844,151.7736358642578,170.06271362304688
31,54,53,35,29,21,28,31,-39.879451751708984,-33.496551513671875,-8.098247528076172,15.7808256149292,37.56232452392578,12.290223121643066,-4.16351318359375,-47.682716369628906,-62.248905181884766,-60.096981048583984,-45.47833251953125,27.866294860839844,147.81387329101562,166.42430114746094,163.8743438720703,159.2269287109375,151.86558532714844,170.16067504882812
31,55,55,38,29,23,23,29,-40.14381408691406,-33.53145217895508,-8.061070442199707,15.810569763183594,37.50485610961914,12.3060884475708,-3.791231870651245,-47.574562072753906,-62.127586364746094,-59.87303161621094,-45.172359466552734,27.862783432006836,148.00027465820312,166.517578125,164.02011108398438,159.4090576171875,152.14923095703125,170.46389770507812
